"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 07:45:11 GMT 2021","Wed Aug 11 07:45:15 GMT 2021","4063","test","test_conduit","TestConduitapp","","","test_cookies",""
"passed","Wed Aug 11 07:44:48 GMT 2021","Wed Aug 11 07:44:57 GMT 2021","8968","test","test_conduit","TestConduitapp","","","test_registration",""
"passed","Wed Aug 11 07:48:16 GMT 2021","Wed Aug 11 07:48:16 GMT 2021","182","test","test_conduit","TestConduitapp","","","test_savedata",""
"passed","Wed Aug 11 07:45:17 GMT 2021","Wed Aug 11 07:45:33 GMT 2021","16532","test","test_conduit","TestConduitapp","","","test_multiplepages",""
"passed","Wed Aug 11 07:45:35 GMT 2021","Wed Aug 11 07:45:47 GMT 2021","12687","test","test_conduit","TestConduitapp","","","test_createnewarticle",""
"passed","Wed Aug 11 07:44:59 GMT 2021","Wed Aug 11 07:45:03 GMT 2021","4372","test","test_conduit","TestConduitapp","","","test_login",""
"passed","Wed Aug 11 07:46:40 GMT 2021","Wed Aug 11 07:48:14 GMT 2021","93895","test","test_conduit","TestConduitapp","","","test_datafromsource",""
"passed","Wed Aug 11 07:46:38 GMT 2021","Wed Aug 11 07:46:38 GMT 2021","161","test","test_conduit","TestConduitapp","","","test_listdata",""
"passed","Wed Aug 11 07:45:49 GMT 2021","Wed Aug 11 07:46:18 GMT 2021","29179","test","test_conduit","TestConduitapp","","","test_deletearticle",""
"passed","Wed Aug 11 07:46:20 GMT 2021","Wed Aug 11 07:46:37 GMT 2021","16631","test","test_conduit","TestConduitapp","","","test_modifydata",""
"passed","Wed Aug 11 07:45:05 GMT 2021","Wed Aug 11 07:45:09 GMT 2021","4456","test","test_conduit","TestConduitapp","","","test_logout",""
