"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 07:24:04 GMT 2021","Wed Aug 11 07:25:38 GMT 2021","94007","test","test_conduit","TestConduitapp","","","test_datafromsource",""
"passed","Wed Aug 11 07:22:20 GMT 2021","Wed Aug 11 07:22:29 GMT 2021","8954","test","test_conduit","TestConduitapp","","","test_registration",""
"passed","Wed Aug 11 07:23:44 GMT 2021","Wed Aug 11 07:24:01 GMT 2021","16590","test","test_conduit","TestConduitapp","","","test_modifydata",""
"passed","Wed Aug 11 07:23:03 GMT 2021","Wed Aug 11 07:23:16 GMT 2021","12701","test","test_conduit","TestConduitapp","","","test_createnewarticle",""
"passed","Wed Aug 11 07:25:40 GMT 2021","Wed Aug 11 07:25:40 GMT 2021","167","test","test_conduit","TestConduitapp","","","test_savedata",""
"passed","Wed Aug 11 07:22:43 GMT 2021","Wed Aug 11 07:22:47 GMT 2021","4058","test","test_conduit","TestConduitapp","","","test_cookies",""
"broken","Wed Aug 11 07:23:18 GMT 2021","Wed Aug 11 07:23:43 GMT 2021","25086","test","test_conduit","TestConduitapp","","","test_deletearticle",""
"passed","Wed Aug 11 07:22:37 GMT 2021","Wed Aug 11 07:22:41 GMT 2021","4442","test","test_conduit","TestConduitapp","","","test_logout",""
"passed","Wed Aug 11 07:24:03 GMT 2021","Wed Aug 11 07:24:03 GMT 2021","162","test","test_conduit","TestConduitapp","","","test_listdata",""
"passed","Wed Aug 11 07:22:49 GMT 2021","Wed Aug 11 07:23:01 GMT 2021","12546","test","test_conduit","TestConduitapp","","","test_multiplepages",""
"passed","Wed Aug 11 07:22:31 GMT 2021","Wed Aug 11 07:22:35 GMT 2021","4384","test","test_conduit","TestConduitapp","","","test_login",""
