"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 05:51:28 GMT 2021","Fri Aug 13 05:51:28 GMT 2021","135","test","test_conduit","TestConduitapp","","","test_listdata",""
"passed","Fri Aug 13 05:50:07 GMT 2021","Fri Aug 13 05:50:23 GMT 2021","16435","test","test_conduit","TestConduitapp","","","test_multiplepages",""
"passed","Fri Aug 13 05:50:01 GMT 2021","Fri Aug 13 05:50:05 GMT 2021","4048","test","test_conduit","TestConduitapp","","","test_cookies",""
"passed","Fri Aug 13 05:50:25 GMT 2021","Fri Aug 13 05:50:37 GMT 2021","12592","test","test_conduit","TestConduitapp","","","test_createnewarticle",""
"passed","Fri Aug 13 05:51:10 GMT 2021","Fri Aug 13 05:51:26 GMT 2021","16489","test","test_conduit","TestConduitapp","","","test_modifydata",""
"passed","Fri Aug 13 05:49:55 GMT 2021","Fri Aug 13 05:50:00 GMT 2021","4372","test","test_conduit","TestConduitapp","","","test_logout",""
"passed","Fri Aug 13 05:49:38 GMT 2021","Fri Aug 13 05:49:47 GMT 2021","8973","test","test_conduit","TestConduitapp","","","test_registration",""
"passed","Fri Aug 13 05:50:39 GMT 2021","Fri Aug 13 05:51:08 GMT 2021","29007","test","test_conduit","TestConduitapp","","","test_deletearticle",""
"passed","Fri Aug 13 05:51:29 GMT 2021","Fri Aug 13 05:53:03 GMT 2021","93680","test","test_conduit","TestConduitapp","","","test_datafromsource",""
"passed","Fri Aug 13 05:49:49 GMT 2021","Fri Aug 13 05:49:54 GMT 2021","4334","test","test_conduit","TestConduitapp","","","test_login",""
"passed","Fri Aug 13 05:53:05 GMT 2021","Fri Aug 13 05:53:05 GMT 2021","140","test","test_conduit","TestConduitapp","","","test_savedata",""
