"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 19:28:44 GMT 2021","Thu Aug 12 19:30:18 GMT 2021","93703","test","test_conduit","TestConduitapp","","","test_datafromsource",""
"passed","Thu Aug 12 19:27:20 GMT 2021","Thu Aug 12 19:27:37 GMT 2021","16474","test","test_conduit","TestConduitapp","","","test_multiplepages",""
"passed","Thu Aug 12 19:27:53 GMT 2021","Thu Aug 12 19:28:22 GMT 2021","29064","test","test_conduit","TestConduitapp","","","test_deletearticle",""
"passed","Thu Aug 12 19:27:39 GMT 2021","Thu Aug 12 19:27:51 GMT 2021","12606","test","test_conduit","TestConduitapp","","","test_createnewarticle",""
"passed","Thu Aug 12 19:27:05 GMT 2021","Thu Aug 12 19:27:10 GMT 2021","4300","test","test_conduit","TestConduitapp","","","test_login",""
"passed","Thu Aug 12 19:28:24 GMT 2021","Thu Aug 12 19:28:40 GMT 2021","16541","test","test_conduit","TestConduitapp","","","test_modifydata",""
"passed","Thu Aug 12 19:26:54 GMT 2021","Thu Aug 12 19:27:04 GMT 2021","9626","test","test_conduit","TestConduitapp","","","test_registration",""
"passed","Thu Aug 12 19:28:42 GMT 2021","Thu Aug 12 19:28:42 GMT 2021","143","test","test_conduit","TestConduitapp","","","test_listdata",""
"passed","Thu Aug 12 19:27:10 GMT 2021","Thu Aug 12 19:27:15 GMT 2021","4392","test","test_conduit","TestConduitapp","","","test_logout",""
"passed","Thu Aug 12 19:30:19 GMT 2021","Thu Aug 12 19:30:19 GMT 2021","143","test","test_conduit","TestConduitapp","","","test_savedata",""
"passed","Thu Aug 12 19:27:16 GMT 2021","Thu Aug 12 19:27:20 GMT 2021","4053","test","test_conduit","TestConduitapp","","","test_cookies",""
